OBJECTID,Survey,StartDepth,Lat_DD,Long_DD,SDate,Depth_1,Temp_1,pH_1,Salinity_1,DisO2_1,Depth_2,Temp_2,pH_2,Salinity_2,DisO2_2,BttmType1,BttmType2,BttmType3,BttmType4,BttmVeg1,BV1_PercComp,BttmVeg2,BV2_PercComp,BttmVeg3,BV3_PercComp,BttmVeg4,BV4_PercComp,BV_TotalCover
1,FKM07110105,0.7000000,24.728466666666666,-81.002666666666670,11/28/2007 13:00:00,0.2000000,26.8999996,8.0000000,37.2999992,11.3999996,0.7000000,26.8999996,8.0000000,37.2999992,10.8999996,S,,,,TH,X,,,,,,,100
2,FKM07110106,1.2000000,24.714083333333335,-81.031800000000004,11/28/2007 14:00:00,0.2000000,26.2000008,7.9000001,37.2000008,10.0000000,1.2000000,26.2000008,7.9000001,37.2000008,10.1999998,M,,,,TH,X,,,,,,,100
3,FKM07110107,0.7000000,24.715916666666665,-81.037666666666667,11/28/2007 14:50:00,0.2000000,26.3999996,7.9000001,37.2000008,10.3999996,0.7000000,26.3999996,7.9000001,37.2000008,10.5000000,M,,,,TH,8,AC,2,,,,,100
4,FKM07110201,0.4000000,24.686683333333335,-81.106049999999996,11/29/2007 8:30:00,0.2000000,25.0000000,7.6999998,37.0999985,9.3999996,,,,,,S,M,,,TH,X,,,,,,,100
5,FKM07110202,0.6000000,24.686766666666667,-81.099866666666671,11/29/2007 9:15:00,0.2000000,25.2999992,7.6999998,37.2000008,9.8000002,0.6000000,25.2999992,7.6999998,37.2000008,9.5000000,S,M,,,TH,X,,,,,,,100
6,FKM07110203,0.6000000,24.705283333333334,-81.071950000000001,11/29/2007 10:00:00,0.2000000,25.8999996,7.6999998,37.0000000,8.1999998,0.6000000,25.8999996,7.6999998,37.0999985,7.8000002,M,,,,TH,X,,,,,,,100
7,FKM07120101,0.5000000,24.763533333333335,-80.945066666666662,12/20/2007 8:50:00,0.2000000,19.8999996,7.8000002,36.2000008,10.6999998,,,,,,M,,,,HA,5,TH,5,,,,,90
8,FKM07120102,0.6000000,24.750499999999999,-80.962500000000006,12/20/2007 9:30:00,0.2000000,20.8999996,8.0000000,36.5000000,12.0000000,,,,,,S,,,,TH,6,HA,4,,,,,100
9,FKM07120103,0.4000000,24.746933333333335,-80.964316666666662,12/20/2007 9:50:00,0.2000000,21.0000000,8.0000000,36.4000015,12.3000002,,,,,,S,,,,HA,5,TH,5,,,,,90
10,FKM07120104,0.6000000,24.730233333333334,-80.998716666666667,12/20/2007 10:30:00,0.2000000,20.7999992,8.0000000,36.7000008,11.5000000,0.6000000,20.7999992,8.0000000,36.7000008,11.1999998,S,,,,TH,X,,,,,,,100
11,FKM07120105,0.4000000,24.729316666666666,-81.000733333333329,12/20/2007 10:50:00,0.2000000,21.2000008,8.0000000,36.5999985,12.6999998,,,,,,S,,,,TH,X,,,,,,,100
