OBJECTID,Survey,Spp_Name,Number_,Len1,Len2,Len3,Len4,Len5,Len6,Len7,Len8,Len9,Len10,Len11,Len12,Len13,Len14,Len15,Len16,Len17,Len18,Len19,Len20
1,FKM06060106,Monacanthus ciliatus,1,8,,,,,,,,,,,,,,,,,,,
2,FKM06060106,Menippe mercenaria,1,10,,,,,,,,,,,,,,,,,,,
3,FKM06060107,Strongylura notata,1,105,,,,,,,,,,,,,,,,,,,
4,FKM06060107,Malacoctenus macropus,1,32,,,,,,,,,,,,,,,,,,,
5,FKM06060107,Stephanolepis hispidus,4,28,32,17,17,,,,,,,,,,,,,,,,
6,FKM06060107,Lagodon rhomboides,27,55,36,34,32,30,29,29,32,36,28,,,,,,,,,,
7,FKM06060107,Haemulon sciurus,43,30,46,34,30,28,32,31,20,22,21,,,,,,,,,,
8,FKM06060107,Syngnathus scovelli,1,101,,,,,,,,,,,,,,,,,,,
9,FKM06060107,Sparisoma chrysopterum,3,30,36,37,,,,,,,,,,,,,,,,,
10,FKM06060107,Haemulon aurolineatum,5,34,37,28,35,30,,,,,,,,,,,,,,,
11,FKM06060107,Sphyraena barracuda,1,44,,,,,,,,,,,,,,,,,,,
12,FKM06060107,Scarus iseri,1,34,,,,,,,,,,,,,,,,,,,
13,FKM06060107,Eucinostomus spp.,3,35,17,20,,,,,,,,,,,,,,,,,
14,FKM06060107,Lutjanus analis,3,41,34,50,,,,,,,,,,,,,,,,,
15,FKM06060107,Haemulon plumierii,2,34,35,,,,,,,,,,,,,,,,,,
16,FKM06060107,Haemulon parra,1,36,,,,,,,,,,,,,,,,,,,
17,FKM06060108,Strongylura notata,1,128,,,,,,,,,,,,,,,,,,,
18,FKM06060108,Floridichthys carpio,5,41,36,46,36,42,,,,,,,,,,,,,,,
19,FKM06060108,Bathygobius soporator,1,44,,,,,,,,,,,,,,,,,,,
20,FKM06060108,Syngnathus scovelli,1,105,,,,,,,,,,,,,,,,,,,
21,FKM06060108,Atherinomorus stipes,21,29,30,25,23,24,22,32,26,20,26,,,,,,,,,,
22,FKM06060108,Haemulon sciurus,1,31,,,,,,,,,,,,,,,,,,,
23,FKM06060108,Sphyraena barracuda,1,40,,,,,,,,,,,,,,,,,,,
24,FKM06060108,Haemulon parra,2,34,28,,,,,,,,,,,,,,,,,,
25,FKM06060109,Archosargus rhomboidalis,1,160,,,,,,,,,,,,,,,,,,,
26,FKM06060109,Sphoeroides nephelus,1,35,,,,,,,,,,,,,,,,,,,
27,FKM06060109,Sphyraena barracuda,2,115,110,,,,,,,,,,,,,,,,,,
28,FKM06060109,Monacanthus ciliatus,10,20,40,35,40,15,20,22,23,12,22,,,,,,,,,,
29,FKM06060109,Syngnathus scovelli,3,71,120,114,,,,,,,,,,,,,,,,,
30,FKM06060109,Scarus iseri,6,50,22,25,28,34,37,,,,,,,,,,,,,,
31,FKM06060109,Eucinostomus gula,11,71,59,72,71,55,70,54,61,59,63,,,,,,,,,,
32,FKM06060109,Haemulon plumierii,3,41,35,46,,,,,,,,,,,,,,,,,
33,FKM06060109,Stephanolepis hispidus,1,27,,,,,,,,,,,,,,,,,,,
34,FKM06060109,Lagodon rhomboides,7,45,68,60,51,66,53,52,,,,,,,,,,,,,
35,FKM06060109,Haemulon sciurus,9,17,17,17,20,17,35,29,33,77,,,,,,,,,,,
36,FKM06060109,Sparisoma chrysopterum,1,59,,,,,,,,,,,,,,,,,,,
37,FKM06060109,Stephanolepis hispidus,3,28,20,11,,,,,,,,,,,,,,,,,
38,FKM06060109,Lutjanus griseus,1,86,,,,,,,,,,,,,,,,,,,
39,FKM06060109,Scarus spp.,1,15,,,,,,,,,,,,,,,,,,,
40,FKM06060201,Acanthostracion quadricornis,1,85,,,,,,,,,,,,,,,,,,,
41,FKM06060201,Strongylura notata,2,151,116,,,,,,,,,,,,,,,,,,
42,FKM06060201,Harengula jaguana,4,58,49,44,44,,,,,,,,,,,,,,,,
43,FKM06060201,Eucinostomus gula,3,71,71,62,,,,,,,,,,,,,,,,,
44,FKM06060201,Haemulon spp.,1,17,,,,,,,,,,,,,,,,,,,
45,FKM06060201,Monacanthus ciliatus,4,42,22,12,32,,,,,,,,,,,,,,,,
46,FKM06060201,Stephanolepis hispidus,1,34,,,,,,,,,,,,,,,,,,,
47,FKM06060201,Ostraciidae spp.,3,16,12,10,,,,,,,,,,,,,,,,,
48,FKM06060201,Eucinostomus spp.,1,25,,,,,,,,,,,,,,,,,,,
49,FKM06060201,Hypoatherina harringtonensis,1,54,,,,,,,,,,,,,,,,,,,
50,FKM06060201,Sphyraena barracuda,2,120,46,,,,,,,,,,,,,,,,,,
51,FKM06060201,Syngnathus floridae,1,147,,,,,,,,,,,,,,,,,,,
52,FKM06060201,Haemulon parra,24,36,31,28,29,35,31,26,20,45,47,,,,,,,,,,
53,FKM06060201,Haemulon sciurus,28,25,33,24,27,34,30,34,29,25,28,,,,,,,,,,
54,FKM06060201,Lagodon rhomboides,2,19,18,,,,,,,,,,,,,,,,,,
55,FKM06060201,Lutjanus synagris,1,20,,,,,,,,,,,,,,,,,,,
56,FKM06060201,Lutjanus analis,7,39,35,27,34,32,28,32,,,,,,,,,,,,,
57,FKM06060201,Sphoeroides nephelus,1,59,,,,,,,,,,,,,,,,,,,
58,FKM06060202,Ostraciidae spp.,1,20,,,,,,,,,,,,,,,,,,,
59,FKM06060202,Monacanthus ciliatus,1,20,,,,,,,,,,,,,,,,,,,
