"","NODCCODE","Commonname","183m seine","21.3m seine","273m nylon trammel net","366m monofilament trammel net","547m nylon trammel net","6.1m otter trawl","61m seine","9.1m seine","Hook and line","Offshore Purse Seine","Troph","Polar","Boreal","Temperate","Subtropical"
"1","8707100101","Nurse Shark",18,NA,NA,3,NA,15,NA,NA,NA,NA,4.29666666666667,0,-2,-3,-5
"2","8708020301","Atlantic Sharpnose Shark",83.5,5,NA,NA,NA,14,NA,NA,NA,NA,4.3025,0,-1,-5,-2
"3","8708020502","Bull Shark",39,1,NA,13,1,NA,NA,NA,NA,NA,4.31,0,-3,-8,-22
"4","8708020504","Blacknose Shark",3,NA,NA,1,NA,NA,NA,NA,NA,4,4.355,0,-1,-2,-2
"5","8708020507","Blacktip Shark",55.5,3,NA,7,1.5,4,NA,NA,3,2,4.375,0,-3,-8,-15
"6","8708020530","Spinner Shark",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,0,-3,-5,-13
"7","8708020531","Finetooth Shark",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,0,-1,-2,-2
"8","8708020801","Lemon Shark",11,NA,NA,2,2,NA,NA,NA,NA,NA,4.3825,0,-2,-2,-4
"9","8708030101","Bonnethead",1139,24,NA,52.5,24.5,29,NA,NA,18,NA,3.498,0,-2,-4,-4
"10","8708030103","Scalloped Hammerhead",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.18666666666667,0,-2,-6,-16
"11","8708040201","Smooth Dogfish",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3.62857142857143,0,-1,-5,-2
"12","8713010101","Smalltooth Sawfish",14.5,1,NA,1,NA,NA,NA,NA,NA,NA,NA,0,-2,-3,-7
"13","8713020101","Atlantic Guitarfish",56,1,NA,4,1,25,NA,NA,1,NA,NA,0,-1,-1,-2
"14","8713040113","Clearnose Skate",5,1,NA,NA,NA,46.5,NA,NA,NA,NA,3.89714285714286,0,-1,-3,-2
"15","8713040126","Freckled Skate",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,-1,-1,-1
"16","8713040133","Roundel Skate",1,NA,NA,NA,NA,20.6666666666667,NA,NA,NA,NA,NA,0,-1,-1,-2
"17","8713050103","Southern Stingray",636.5,11,NA,18,12,98.5,2,NA,NA,NA,3.525,0,-1,-2,-2
"18","8713050105","Atlantic Stingray",27659.25,1835.5,NA,150,66,7816.33333333333,118.5,1,61,NA,NA,0,-2,-3,-4
"19","8713050106","Bluntnose Stingray",2945.08333333333,118.5,NA,54,27.5,543,15,NA,3,NA,3.6075,0,-1,-3,-1
"20","8713050202","Smooth Butterfly Ray",1022.5,29,NA,9,2,520.666666666667,1,NA,NA,NA,NA,0,-1,-2,-3
"21","8713070101","Spotted Eagle Ray",101,2,NA,4,NA,2,NA,NA,NA,NA,4.12,0,-2,-4,-14
"22","8713070301","Cownose Ray",5877,198.083333333333,1,228.333333333333,16.6666666666667,89,37,NA,4,NA,3.70666666666667,0,-1,-3,-3
"23","8713120101","Lesser Electric Ray",9,NA,NA,NA,NA,15.5,NA,NA,NA,NA,NA,0,-1,-1,-1
"24","8729010105","Atlantic Sturgeon",2,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,0,-8,-13,-10
"25","8732010101","Longnose Gar",750.5,63,NA,1,NA,228,40,NA,NA,NA,NA,0,-2,-5,-3
"26","8732010102","Spotted Gar",10,11,NA,NA,NA,1,NA,NA,NA,NA,NA,0,-1,-4,-2
"27","8732010105","Florida Gar",19,57,NA,NA,NA,7,24,NA,NA,NA,NA,0,-1,-1,-1
"28","8734010101","Bowfin",1,3,NA,NA,NA,NA,1,NA,NA,NA,NA,0,-2,-7,-2
"29","8738010101","Ladyfish",36243.3,598.833333333333,5,1828.18333333333,NA,196.666666666667,162.5,1,125,NA,3.4825,0,-1,-3,-3
"30","8738010199","Malacho",NA,2,NA,NA,NA,11,NA,NA,NA,NA,NA,0,0,0,0
"31","8738020201","Tarpon",51,2,NA,NA,NA,1,NA,NA,NA,NA,3.885,0,-2,-6,-5
"32","8739010101","Bonefish",22,46.5,NA,NA,NA,1,NA,NA,NA,NA,3.735,0,-2,-7,-9
"33","8739010104","Channel Bonefish",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,0,0,0
"34","8741010101","American Eel",2,NA,NA,NA,NA,4,NA,NA,NA,NA,3.83,-1,-3,-12,-6
"35","8741050404","Blackedge Moray",NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,0,-1,-1,-2
"36","8741050407","Ocellated Moray",1,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,0,-1,-2,-2
"37","8741130201","Whip Eel",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,-1,-2,-2
"38","8741130802","Speckled Worm Eel",1,125,NA,NA,NA,604,NA,NA,NA,NA,NA,0,-1,-2,-2
"39","8741131001","Shrimp Eel",4,7,NA,NA,NA,22,NA,NA,NA,NA,NA,0,-1,-2,-2
"40","8741133101","Spotted Spoon-nose Eel",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-1,-2,-2
"41","8741133102","Stippled Spoon-nose Eel",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,-1,-1,-2
"42","8747010104","Alabama Shad",76,5,NA,NA,NA,2,NA,NA,NA,NA,NA,0,-2,-5,-7
"43","8747010106","Skipjack Herring",72,7,NA,NA,NA,5,NA,NA,NA,NA,NA,0,-2,-5,-4
"44","8747010501","Gizzard Shad",1027.83333333333,9,NA,NA,NA,3,5,NA,NA,NA,NA,0,-3,-8,-5
"45","8747010502","Threadfin Shad",1820,944,NA,NA,NA,95.5,126,NA,NA,NA,2.616,0,-3,-7,-7
"46","8747010701","Atlantic Thread Herring",26811.5,14367.5,NA,23,NA,855.833333333333,259.5,4,NA,NA,3.192,0,-1,-3,-2
"47","8747010803","Scaled Sardine",176933.166666667,137845,NA,NA,NA,3693.33333333333,13418.5,NA,NA,NA,3.486,0,-1,-1,-2
"48","8747010901","Dwarf Herring",NA,1017,NA,NA,NA,NA,NA,NA,NA,NA,3.22,0,-1,-1,-2
"49","8747010903","Shortband Herring",NA,283,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-1,-1,-2
"50","8747011001","Spanish Sardine",1478,9452.16666666667,NA,NA,NA,97,5,NA,NA,NA,3.2,0,-2,-6,-7
"51","8747020103","Silver Anchovy",NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,0,-1,-2,-2
"52","8747020201","Striped Anchovy",127,59960.2666666667,NA,1,NA,18386.2,32,1,NA,NA,3.40333333333333,0,-1,-4,-2
"53","8747020202","Bay Anchovy",57,1540274.25714286,NA,NA,NA,583791.066666667,75,9915.75,NA,NA,3.0925,0,-1,-3,-2
"54","8747020203","Cuban Anchovy",NA,4129.75,NA,NA,NA,11596.7666666667,NA,NA,NA,NA,NA,0,-1,-1,-2
"55","8747020204","Bigeye Anchovy",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-1,-1,-2
"56","8747020205","Dusky Anchovy",NA,1091.58333333333,NA,NA,NA,1598,NA,NA,NA,NA,NA,0,-1,-1,-2
"57","8758010103","Chain Pickerel",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-1,-5,-2
"58","8762020101","Inshore Lizardfish",4790.5,11015.1666666667,NA,13,1,14004.6666666667,8,1,28,NA,4.11142857142857,0,-1,-2,-2
"59","8762020301","Largescale Lizardfish",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,-1,-1,-3
"60","8776010101","Common Carp",2,9.5,NA,NA,NA,NA,NA,NA,NA,NA,2.62916666666667,0,-7,-25,-34
"61","8776010601","Golden Shiner",NA,280.666666666667,NA,NA,NA,NA,NA,NA,NA,NA,2.83857142857143,0,-1,-5,-3
"62","8776011104","Ironcolor Shiner",NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-1,-5,-4
"63","8776011124","Weed Shiner",NA,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-1,-3,-2
"64","8776011178","Taillight Shiner",NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-1,-2,-2
"65","8776011185","Coastal Shiner",1,1444.16666666667,NA,NA,NA,16,NA,NA,NA,NA,NA,0,-1,-3,-2
"66","8776012301","Grass Carp",1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,0,-2,-13,-18
"67","8776017621","Blacktail Shiner",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-1,-3,-3
"68","8776040201","Quillback",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-3,-4,-2
"69","8776040301","Lake Chubsucker",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-1,-4,-2
"70","8776040801","Spotted Sucker",NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-1,-6,-2
"71","8777020102","Blue Catfish",NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,0,-1,-5,-4
"72","8777020105","Channel Catfish",1,14,NA,NA,NA,1123.83333333333,1,NA,NA,NA,3.75666666666667,0,-3,-9,-6
"73","8777020602","White Catfish",11,21,NA,NA,NA,1249,1,NA,NA,NA,3.65,0,-1,-4,-2
"74","8777020604","Yellow Bullhead",NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,0,-2,-7,-4
"75","8777020605","Brown Bullhead",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3.40875,0,-6,-12,-7
"76","8777020607","Spotted Bullhead",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,-1,-2,-3
"77","8777120101","Walking Catfish",1,NA,NA,NA,NA,1,NA,NA,NA,NA,3.2925,0,-1,-2,-3
"78","8777180101","Gafftopsail Catfish",7936.5,1315,NA,100.5,1,3419.83333333333,49,NA,32,NA,3.395,0,-1,-2,-1
"79","8777180202","Hardhead Catfish",50539.5,14963,50,4809.97685185185,2,33232.8333333333,175.5,NA,229,NA,3.335,0,-1,-2,-2
"80","8777300301","Brown Hoplo",4,8,NA,NA,NA,14,NA,NA,NA,NA,2.944,0,0,-1,-2
"81","8777302001","Vermiculated Catfish",NA,2,NA,NA,NA,2,1,NA,NA,NA,NA,0,0,-2,-2
"82","8781010101","Pirate Perch",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-1,-6,-2
"83","8783010108","Atlantic Midshipman",3,5,NA,NA,NA,560,NA,NA,NA,NA,4.47,0,-1,-2,-1
"84","8783010202","Gulf Toadfish",4789,987.166666666667,NA,3,NA,10320,26,NA,1,NA,NA,0,-1,-1,-2
"85","8784010102","Skilletfish",2,478,NA,NA,NA,258.5,NA,2.5,NA,NA,NA,0,-2,-3,-3
"86","8787020101","Sargassumfish",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-3,-7,-14
"87","8787020203","Singlespot Frogfish",NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,0,-1,-2,-2
"88","8787040105","Roughback Batfish",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0,-1,-2,-2
"89","8787040106","Spotted Batfish",3281,100,NA,1,NA,718,NA,NA,NA,NA,NA,0,-1,-1,-1
"90","8787040109","Longnose Batfish",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0,-1,-2,-1
"91","8787040113","Polka-dot Batfish",5606.5,166,NA,1,NA,2869.5,NA,NA,NA,NA,NA,0,-1,-1,-2
