"","NODCCODE","Commonname",">30","25-26","26-27","27-28","28-29","29-30","Troph","Polar","Boreal","Temperate","Subtropical"
"1","8707100101","Nurse Shark",NA,6,29,1,NA,NA,4.29666666666667,0,-2,-3,-5
"2","8708020301","Atlantic Sharpnose Shark",1,NA,NA,4,1,96.5,4.3025,0,-1,-5,-2
"3","8708020502","Bull Shark",NA,1,23,15,1,14,4.31,0,-3,-8,-22
"4","8708020504","Blacknose Shark",NA,NA,1,7,NA,NA,4.355,0,-1,-2,-2
"5","8708020507","Blacktip Shark",NA,NA,17,15.5,NA,43.5,4.375,0,-3,-8,-15
"6","8708020530","Spinner Shark",NA,NA,NA,NA,NA,2,4.2,0,-3,-5,-13
"7","8708020531","Finetooth Shark",NA,NA,NA,NA,NA,5,4.2,0,-1,-2,-2
"8","8708020801","Lemon Shark",NA,7,1,6,NA,1,4.3825,0,-2,-2,-4
"9","8708030101","Bonnethead",1,32.5,228.5,477.5,9,538.5,3.498,0,-2,-4,-4
"10","8708030103","Scalloped Hammerhead",NA,NA,NA,NA,NA,1,4.18666666666667,0,-2,-6,-16
"11","8708040201","Smooth Dogfish",NA,NA,NA,NA,NA,1,3.62857142857143,0,-1,-5,-2
"12","8713010101","Smalltooth Sawfish",NA,NA,15.5,1,NA,NA,NA,0,-2,-3,-7
"13","8713020101","Atlantic Guitarfish",NA,NA,6,77,NA,5,NA,0,-1,-1,-2
"14","8713040113","Clearnose Skate",NA,NA,18.5,3,NA,31,3.89714285714286,0,-1,-3,-2
"15","8713040126","Freckled Skate",NA,NA,NA,NA,NA,1,NA,0,-1,-1,-1
"16","8713040133","Roundel Skate",3,NA,NA,5.66666666666667,NA,13,NA,0,-1,-1,-2
"17","8713050103","Southern Stingray",9,9,360,223.5,12.5,164,3.525,0,-1,-2,-2
"18","8713050105","Atlantic Stingray",190.5,2,2503.08333333333,7008.33333333333,217,27786.6666666667,NA,0,-2,-3,-4
"19","8713050106","Bluntnose Stingray",55,1,397.833333333333,731.416666666667,15,2505.83333333333,3.6075,0,-1,-3,-1
