"","Month","Year","Region","Station","Latitude","Longitude","Replicate","Species","BraunBlanquet","Scallops","Urchins","Grass.or.Algae","Total.SAV","Total.Grass","Total.macroAlgae","Epipyhte.Denstiy","Blade_Length_Avg_cm","Blade_Width_Avg_cm","Shoots.per.m2","Sediment.type"
"1","September",2006,"St Marks","SMAR1",30.06016,-84.17051,1,"TTES","1",NA,NA,"Seagrass","1","1","1","LIGHT",NA,NA,NA,"SILT/SHELL"
"2","September",2006,"St Marks","SMAR1",30.06016,-84.17051,1,"CPRO","1",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"3","September",2006,"St Marks","SMAR1",30.06016,-84.17051,2,"TTES","1",NA,NA,"Seagrass","3","3",NA,"LIGHT",NA,NA,NA,"SILT/SHELL"
"4","September",2006,"St Marks","SMAR1",30.06016,-84.17051,2,"SFIL","2",NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA,""
"5","September",2006,"St Marks","SMAR1",30.06016,-84.17051,2,"HWRI","2",NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA,""
"6","September",2006,"St Marks","SMAR1",30.06016,-84.17051,3,"TTES","1",NA,NA,"Seagrass","3","3",NA,"LIGHT",NA,NA,NA,"SILT/SHELL"
"7","September",2006,"St Marks","SMAR1",30.06016,-84.17051,3,"HWRI","2",NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA,""
"8","September",2006,"St Marks","SMAR1",30.06016,-84.17051,3,"SFIL","2",NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA,""
"9","September",2006,"St Marks","SMAR1",30.06016,-84.17051,4,"TTES","1",NA,NA,"Seagrass","3","3",NA,"CLEAN",NA,NA,NA,"SILT/SHELL"
"10","September",2006,"St Marks","SMAR1",30.06016,-84.17051,4,"SFIL","1",NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA,""
"11","September",2006,"St Marks","SMAR1",30.06016,-84.17051,4,"HWRI","2",NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA,""
"12","September",2006,"St Marks","SMAR2",30.06131,-84.15289,1,"TTES","4",NA,NA,"Seagrass","5","5",NA,"MODERATE",NA,NA,NA,"SILT/SHELL"
"13","September",2006,"St Marks","SMAR2",30.06131,-84.15289,1,"SFIL","3",NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA,""
"14","September",2006,"St Marks","SMAR2",30.06131,-84.15289,1,"DRIFT","1",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"15","September",2006,"St Marks","SMAR2",30.06131,-84.15289,2,"TTES","3",NA,NA,"Seagrass","4","4",NA,"MODERATE",NA,NA,NA,"SILT/SHELL"
"16","September",2006,"St Marks","SMAR2",30.06131,-84.15289,2,"SFIL","2",NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA,""
