"","NODCCODE","Scientificname","Commonname","Reference","Sampling_Date","Gear_Description","Longitude","Latitude","depth","BottomVegCover","Vegetated","Effort","Number_pertow","Number_per100sqm"
"1","8839030301","Nicholsina usta","Emerald Parrotfish","ANM2004110204",2004-11-10,"6.1m otter trawl",-82.811917,28.167233,1.5,NA,1,815.32,2,0.00245302457930628
"2","8839030301","Nicholsina usta","Emerald Parrotfish","ANM2004120205",2004-12-09,"6.1m otter trawl",-82.8124,28.178567,1.7,NA,1,889.44,4,0.00449721172872819
"3","8839030301","Nicholsina usta","Emerald Parrotfish","ANM2005020211",2005-02-15,"6.1m otter trawl",-82.816383,28.180383,1.9,NA,NA,889.44,1,0.00112430293218205
"4","8839030301","Nicholsina usta","Emerald Parrotfish","ANM2005040209",2005-04-05,"6.1m otter trawl",-82.8113,28.169467,1.6,100,1,815.32,2,0.00245302457930628
"5","8839030301","Nicholsina usta","Emerald Parrotfish","APM1999081603",1999-08-16,"183m seine",-84.647333,29.785667,1.7,50,1,41.2,1,0.0242718446601942
"6","8839030301","Nicholsina usta","Emerald Parrotfish","APM2000101208",2000-10-12,"183m seine",-84.966667,29.614833,0.8,NA,1,41.2,1,0.0242718446601942
"7","8839030301","Nicholsina usta","Emerald Parrotfish","APM2000110205",2000-11-02,"21.3m seine",-85.079667,29.6205,0.5,50,1,1.4,2,1.42857142857143
"8","8839030301","Nicholsina usta","Emerald Parrotfish","APM2000110803",2000-11-08,"183m seine",-84.647333,29.785833,2.4,0,0,41.2,9,0.218446601941748
"9","8839030301","Nicholsina usta","Emerald Parrotfish","APM2001080606",2001-08-15,"21.3m seine",-84.60625,29.809117,1.3,NA,1,1.4,1,0.714285714285714
"10","8839030301","Nicholsina usta","Emerald Parrotfish","APM2001083002",2001-08-13,"6.1m otter trawl",-85.662883,30.146833,1.2,90,1,1630.64,2,0.00122651228965314
"11","8839030301","Nicholsina usta","Emerald Parrotfish","APM2001100306",2001-10-04,"21.3m seine",-85.083333,29.621133,0.5,50,1,1.4,1,0.714285714285714
"12","8839030301","Nicholsina usta","Emerald Parrotfish","APM2002060203",2002-06-04,"21.3m seine",-84.59455,29.866483,0.9,75,1,1.4,1,0.714285714285714
"13","8839030301","Nicholsina usta","Emerald Parrotfish","APM2002110501",2002-11-08,"21.3m seine",-84.81275,29.683367,0.6,40,1,1.4,1,0.714285714285714
"14","8839030301","Nicholsina usta","Emerald Parrotfish","APM2004110306",2004-11-08,"21.3m seine",-84.642567,29.790183,0.9,90,1,1.4,1,0.714285714285714
"15","8839030301","Nicholsina usta","Emerald Parrotfish","APM2004120206",2004-12-06,"21.3m seine",-84.995983,29.607567,0.7,100,1,1.4,1,0.714285714285714
"16","8839030301","Nicholsina usta","Emerald Parrotfish","APM2006110205",2006-11-01,"21.3m seine",-85.0342,29.599067,0.8,100,1,1.4,3,2.14285714285714
"17","8839030301","Nicholsina usta","Emerald Parrotfish","APM2007060407",2007-06-07,"6.1m otter trawl",-84.520817,29.892067,2.3,NA,NA,1630.64,4,0.00245302457930628
"18","8839030301","Nicholsina usta","Emerald Parrotfish","APM2007090109",2007-09-04,"21.3m seine",-84.609767,29.805083,0.8,90,1,1.4,1,0.714285714285714
"19","8839030301","Nicholsina usta","Emerald Parrotfish","APM2007111004",2007-11-21,"21.3m seine",-85.05695,29.608633,1,100,1,1.4,6,4.28571428571429
"20","8839030301","Nicholsina usta","Emerald Parrotfish","APM2008070102",2008-07-02,"183m seine",-84.6258,29.790717,1.4,50,1,41.2,1,0.0242718446601942
"21","8839030301","Nicholsina usta","Emerald Parrotfish","APM2008100801",2008-10-15,"21.3m seine",-84.635367,29.838233,0.9,90,1,1.4,1,0.714285714285714
"22","8839030301","Nicholsina usta","Emerald Parrotfish","APM2008100805",2008-10-15,"183m seine",-84.623067,29.793533,1.3,70,1,41.2,1,0.0242718446601942
"23","8839030301","Nicholsina usta","Emerald Parrotfish","APM2008101001",2008-10-17,"6.1m otter trawl",-84.925933,29.6483,1.3,75,1,815.32,1,0.00122651228965314
"24","8839030301","Nicholsina usta","Emerald Parrotfish","APM2008101002",2008-10-17,"6.1m otter trawl",-84.978867,29.612683,1.3,75,1,815.32,1,0.00122651228965314
"25","8839030301","Nicholsina usta","Emerald Parrotfish","APM2008110901",2008-11-17,"183m seine",-84.633833,29.837783,1.5,NA,1,41.2,1,0.0242718446601942
"26","8839030301","Nicholsina usta","Emerald Parrotfish","APM2009010102",2009-01-05,"21.3m seine",-84.614367,29.79935,1,100,1,1.4,1,0.714285714285714
"27","8839030301","Nicholsina usta","Emerald Parrotfish","APM2009060208",2009-06-02,"6.1m otter trawl",-84.540067,29.893117,2,60,1,1630.64,1,0.000613256144826571
"28","8839030301","Nicholsina usta","Emerald Parrotfish","APM2009090505",2009-09-16,"6.1m otter trawl",-84.978066,29.612933,1.2,75,1,815.32,1,0.00122651228965314
"29","8839030301","Nicholsina usta","Emerald Parrotfish","APM2009090506",2009-09-16,"6.1m otter trawl",-84.9417,29.634666,1.7,65,1,889.44,1,0.00112430293218205
"30","8839030301","Nicholsina usta","Emerald Parrotfish","APM2009100706",2009-10-12,"6.1m otter trawl",-84.644066,29.79315,1.8,80,1,963.56,3,0.0031134542737349
"31","8839030301","Nicholsina usta","Emerald Parrotfish","APM2009110103",2009-11-02,"6.1m otter trawl",-84.608816,29.863766,2,NA,1,1482.4,1,0.000674581759309228
"32","8839030301","Nicholsina usta","Emerald Parrotfish","APM2009110307",2009-11-05,"6.1m otter trawl",-84.567516,29.874316,2,75,1,889.44,1,0.00112430293218205
"33","8839030301","Nicholsina usta","Emerald Parrotfish","APM2009110502",2009-11-13,"183m seine",-84.607116,29.806866,1.5,80,1,41.2,1,0.0242718446601942
"34","8839030301","Nicholsina usta","Emerald Parrotfish","APM2009110503",2009-11-13,"6.1m otter trawl",-84.603583,29.8136,2.4,75,1,889.44,1,0.00112430293218205
"35","8839030301","Nicholsina usta","Emerald Parrotfish","APM2009110506",2009-11-13,"6.1m otter trawl",-84.61505,29.8626,1.8,85,1,1037.68,1,0.000963688227584612
"36","8839030301","Nicholsina usta","Emerald Parrotfish","APM2011070309",2011-07-07,"6.1m otter trawl",-84.628283,29.852716,2.1,NA,1,1630.64,1,0.000613256144826571
"37","8839030301","Nicholsina usta","Emerald Parrotfish","APM2011110502",2011-11-09,"6.1m otter trawl",-84.606,29.86215,1.8,100,1,889.44,1,0.00112430293218205
"38","8839030301","Nicholsina usta","Emerald Parrotfish","APM2012010107",2012-01-05,"6.1m otter trawl",-84.602616,29.855966,3.1,NA,1,1630.64,1,0.000613256144826571
"39","8839030301","Nicholsina usta","Emerald Parrotfish","APM2012040105",2012-04-02,"6.1m otter trawl",-84.582816,29.8303,1.8,30,1,1556.52,2,0.00128491763677948
"40","8839030301","Nicholsina usta","Emerald Parrotfish","APM2012040106",2012-04-02,"6.1m otter trawl",-84.532566,29.901666,2.9,NA,1,1556.52,1,0.000642458818389741
"41","8839030301","Nicholsina usta","Emerald Parrotfish","APM2012050403",2012-05-04,"6.1m otter trawl",-84.538333,29.901666,1.9,90,1,815.32,1,0.00122651228965314
"42","8839030301","Nicholsina usta","Emerald Parrotfish","APM2012050406",2012-05-04,"6.1m otter trawl",-84.600433,29.863866,1.4,90,1,889.44,4,0.00449721172872819
"43","8839030301","Nicholsina usta","Emerald Parrotfish","APM2012050503",2012-05-08,"183m seine",-84.5933,29.820466,1.3,85,1,41.2,4,0.0970873786407767
"44","8839030301","Nicholsina usta","Emerald Parrotfish","APM2012060801",2012-06-13,"183m seine",-84.644416,29.790516,1.5,75,1,41.2,4,0.0970873786407767
"45","8839030301","Nicholsina usta","Emerald Parrotfish","APM2013060802",2013-06-11,"6.1m otter trawl",-84.525883,29.8928,2.4,NA,1,1556.52,4,0.00256983527355896
"46","8839030301","Nicholsina usta","Emerald Parrotfish","APM2013080401",2013-08-06,"6.1m otter trawl",-84.59365,29.865583,1.5,60,1,889.44,3,0.00337290879654614
"47","8839030301","Nicholsina usta","Emerald Parrotfish","APM2014090501",2014-09-10,"21.3m seine",-84.698633,29.7665,1,65,1,1.4,1,0.714285714285714
"48","8839030301","Nicholsina usta","Emerald Parrotfish","APM2014100104",2014-10-01,"6.1m otter trawl",-84.607766,29.80875,2,90,1,963.56,1,0.00103781809124497
"49","8839030301","Nicholsina usta","Emerald Parrotfish","APM2014100904",2014-10-21,"6.1m otter trawl",-84.7066,29.819883,1.6,70,1,889.44,3,0.00337290879654614
"50","8839030301","Nicholsina usta","Emerald Parrotfish","APM2015010204",2015-01-07,"21.3m seine",-84.698433,29.767433,0.7,60,1,1.4,3,2.14285714285714
"51","8839030301","Nicholsina usta","Emerald Parrotfish","APM2015010207",2015-01-07,"21.3m seine",-84.738966,29.800883,0.8,60,1,1.4,1,0.714285714285714
"52","8839030301","Nicholsina usta","Emerald Parrotfish","APM2015090208",2015-09-02,"183m seine",-84.58665,29.82105,2,50,1,41.2,1,0.0242718446601942
"53","8839030301","Nicholsina usta","Emerald Parrotfish","APM2015100102",2015-10-01,"183m seine",-84.611616,29.802383,1,50,1,41.2,2,0.0485436893203883
"54","8839030301","Nicholsina usta","Emerald Parrotfish","APM2015110204",2015-11-03,"183m seine",-84.6455,29.78865,0.9,95,1,41.2,2,0.0485436893203883
"55","8839030301","Nicholsina usta","Emerald Parrotfish","APM2015110207",2015-11-03,"21.3m seine",-84.659216,29.781916,1,88,1,1.4,3,2.14285714285714
"56","8839030301","Nicholsina usta","Emerald Parrotfish","APM2015110210",2015-11-03,"183m seine",-84.5932,29.820466,1,50,1,41.2,10,0.242718446601942
"57","8839030301","Nicholsina usta","Emerald Parrotfish","APM2015110302",2015-11-04,"6.1m otter trawl",-84.97855,29.613,1.4,55,1,889.44,1,0.00112430293218205
"58","8839030301","Nicholsina usta","Emerald Parrotfish","APM2015110508",2015-11-10,"6.1m otter trawl",-84.546966,29.883583,1.7,80,1,889.44,2,0.00224860586436409
"59","8839030301","Nicholsina usta","Emerald Parrotfish","APM2015110509",2015-11-10,"6.1m otter trawl",-84.568466,29.8739,2.3,100,1,889.44,1,0.00112430293218205
"60","8839030301","Nicholsina usta","Emerald Parrotfish","APM2015110604",2015-11-12,"6.1m otter trawl",-84.711466,29.750416,1.3,75,1,889.44,5,0.00562151466091024
"61","8839030301","Nicholsina usta","Emerald Parrotfish","APM2015110607",2015-11-12,"21.3m seine",-84.735,29.73,0.8,100,1,1.4,1,0.714285714285714
"62","8839030301","Nicholsina usta","Emerald Parrotfish","APM2015120117",2015-12-01,"21.3m seine",-84.770016,29.71085,0.8,NA,1,1.4,1,0.714285714285714
"63","8839030301","Nicholsina usta","Emerald Parrotfish","APM2016060407",2016-06-02,"183m seine",-84.667466,29.78445,1,0,0,41.2,1,0.0242718446601942
"64","8839030301","Nicholsina usta","Emerald Parrotfish","APM2016060705",2016-06-08,"183m seine",-84.6278,29.842866,1.8,60,1,41.2,1,0.0242718446601942
"65","8839030301","Nicholsina usta","Emerald Parrotfish","APM2016100103",2016-10-03,"183m seine",-84.593783,29.8203,1.6,85,1,41.2,1,0.0242718446601942
"66","8839030301","Nicholsina usta","Emerald Parrotfish","APM2016120104",2016-12-01,"21.3m seine",-84.737716,29.801733,0.9,50,1,1.4,1,0.714285714285714
"67","8839030301","Nicholsina usta","Emerald Parrotfish","APM2017100704",2017-10-11,"6.1m otter trawl",-84.584116,29.82325,1.5,65,1,889.44,2,0.00224860586436409
"68","8839030301","Nicholsina usta","Emerald Parrotfish","APM2017100706",2017-10-11,"6.1m otter trawl",-84.624783,29.84155,1,75,1,889.44,1,0.00112430293218205
"69","8839030301","Nicholsina usta","Emerald Parrotfish","APM2017110305",2017-11-02,"183m seine",-84.724766,29.808216,1,NA,1,41.2,1,0.0242718446601942
"70","8839030301","Nicholsina usta","Emerald Parrotfish","BBM2008050110",2008-05-12,"6.1m otter trawl",-83.451183,29.653717,1.8,NA,1,889.44,1,0.00112430293218205
"71","8839030301","Nicholsina usta","Emerald Parrotfish","BBM2008070403",2008-07-22,"6.1m otter trawl",-83.431233,29.61605,1.7,100,1,592.96,1,0.00168645439827307
"72","8839030301","Nicholsina usta","Emerald Parrotfish","BBM2008070405",2008-07-22,"6.1m otter trawl",-83.4495,29.594583,2.7,100,1,889.44,1,0.00112430293218205
"73","8839030301","Nicholsina usta","Emerald Parrotfish","BBM2008080108",2008-08-08,"6.1m otter trawl",-83.657917,29.817317,3,NA,1,889.44,1,0.00112430293218205
"74","8839030301","Nicholsina usta","Emerald Parrotfish","BBM2008080109",2008-08-08,"6.1m otter trawl",-83.6428,29.815,2.4,100,1,889.44,1,0.00112430293218205
"75","8839030301","Nicholsina usta","Emerald Parrotfish","BBM2008080203",2008-08-18,"6.1m otter trawl",-84.0788,30.0437,3,NA,1,815.32,1,0.00122651228965314
"76","8839030301","Nicholsina usta","Emerald Parrotfish","BBM2008080402",2008-08-26,"6.1m otter trawl",-83.44305,29.5796,2.9,100,1,889.44,1,0.00112430293218205
"77","8839030301","Nicholsina usta","Emerald Parrotfish","BBM2008090102",2008-09-15,"6.1m otter trawl",-83.614433,29.798683,1.5,100,1,592.96,1,0.00168645439827307
"78","8839030301","Nicholsina usta","Emerald Parrotfish","BBM2008090103",2008-09-15,"6.1m otter trawl",-83.622617,29.8225,1.6,100,1,592.96,1,0.00168645439827307
"79","8839030301","Nicholsina usta","Emerald Parrotfish","BBM2008090107",2008-09-15,"6.1m otter trawl",-83.70215,29.8656,3.1,100,1,889.44,1,0.00112430293218205
"80","8839030301","Nicholsina usta","Emerald Parrotfish","BBM2008090404",2008-09-18,"6.1m otter trawl",-83.522283,29.691917,1.7,100,1,889.44,2,0.00224860586436409
"81","8839030301","Nicholsina usta","Emerald Parrotfish","BBM2008100102",2008-10-02,"6.1m otter trawl",-83.62955,29.802717,1,NA,1,889.44,1,0.00112430293218205
"82","8839030301","Nicholsina usta","Emerald Parrotfish","BBM2008100103",2008-10-02,"6.1m otter trawl",-83.618,29.781333,1,NA,1,889.44,1,0.00112430293218205
"83","8839030301","Nicholsina usta","Emerald Parrotfish","BBM2008100109",2008-10-02,"6.1m otter trawl",-83.700017,29.89905,1.7,NA,1,889.44,1,0.00112430293218205
"84","8839030301","Nicholsina usta","Emerald Parrotfish","BBM2008100205",2008-10-15,"6.1m otter trawl",-83.5593,29.672733,2.3,100,1,889.44,1,0.00112430293218205
"85","8839030301","Nicholsina usta","Emerald Parrotfish","BBM2008100303",2008-10-16,"6.1m otter trawl",-84.08595,30.063467,1.1,100,1,889.44,1,0.00112430293218205
"86","8839030301","Nicholsina usta","Emerald Parrotfish","BBM2008100402",2008-10-21,"6.1m otter trawl",-83.968983,30.0202,1.7,100,1,815.32,1,0.00122651228965314
"87","8839030301","Nicholsina usta","Emerald Parrotfish","BBM2008100407",2008-10-21,"6.1m otter trawl",-84.002433,30.001967,2.8,100,1,815.32,1,0.00122651228965314
"88","8839030301","Nicholsina usta","Emerald Parrotfish","BBM2008100409",2008-10-21,"6.1m otter trawl",-83.928167,29.95685,2.9,NA,1,889.44,1,0.00112430293218205
"89","8839030301","Nicholsina usta","Emerald Parrotfish","BBM2008110110",2008-11-05,"6.1m otter trawl",-83.672267,29.857817,1.7,100,1,889.44,1,0.00112430293218205
"90","8839030301","Nicholsina usta","Emerald Parrotfish","BBM2008110303",2008-11-17,"6.1m otter trawl",-83.522517,29.692517,1.3,100,1,889.44,1,0.00112430293218205
"91","8839030301","Nicholsina usta","Emerald Parrotfish","BBM2008110305",2008-11-17,"6.1m otter trawl",-83.545133,29.698417,1.7,100,1,889.44,2,0.00224860586436409
