"","Reference","Sampling_Date","Gear_Description","Longitude","Latitude","Scientificname","Commonname","Number_pertow","Number_per100sqm","BottomVegCover","Vegetated","TH_Coverage","SY_Coverage","HA_Coverage"
"1","ANM2004100106",2004-10-18,"21.3m seine",-82.793,28.175867,"Callinectes sapidus","Blue Crab",3,4.41176470588235,0,0,0,0,0
"2","ANM2004100109",2004-10-18,"21.3m seine",-82.77005,28.159633,"Callinectes sapidus","Blue Crab",9,13.2352941176471,0,0,0,0,0
"3","ANM2004100202",2004-10-19,"21.3m seine",-82.738383,28.165083,"Callinectes sapidus","Blue Crab",2,2.94117647058824,0,0,0,0,0
"4","ANM2004110101",2004-11-09,"21.3m seine",-82.723983,28.1734,"Callinectes sapidus","Blue Crab",1,1.47058823529412,0,0,0,0,0
"5","ANM2004120101",2004-12-09,"21.3m seine",-82.724317,28.172383,"Callinectes sapidus","Blue Crab",2,2.94117647058824,0,0,0,0,0
"6","ANM2004120203",2004-12-09,"21.3m seine",-82.800583,28.172983,"Callinectes sapidus","Blue Crab",1,1.47058823529412,0,0,0,0,0
"7","ANM2004120204",2004-12-09,"21.3m seine",-82.7985,28.172233,"Callinectes sapidus","Blue Crab",3,4.41176470588235,15,1,0,0,15
"8","ANM2005010107",2005-01-19,"21.3m seine",-82.747533,28.158483,"Callinectes sapidus","Blue Crab",1,1.47058823529412,0,0,0,0,0
"9","ANM2005010109",2005-01-19,"6.1m otter trawl",-82.75215,28.1588,"Callinectes sapidus","Blue Crab",2,0.00207563618248993,0,0,0,0,0
"10","ANM2005010201",2005-01-20,"21.3m seine",-82.7804,28.163,"Callinectes sapidus","Blue Crab",3,4.41176470588235,0,0,0,0,0
"11","ANM2005010206",2005-01-20,"21.3m seine",-82.802967,28.169567,"Callinectes sapidus","Blue Crab",3,4.41176470588235,100,1,0,0,100
"12","ANM2005010207",2005-01-20,"21.3m seine",-82.800583,28.172917,"Callinectes sapidus","Blue Crab",1,1.47058823529412,100,1,100,0,0
"13","ANM2005020102",2005-02-15,"21.3m seine",-82.71885,28.173733,"Callinectes sapidus","Blue Crab",2,2.94117647058824,0,0,0,0,0
"14","ANM2005020203",2005-02-15,"21.3m seine",-82.757533,28.157,"Callinectes sapidus","Blue Crab",1,1.47058823529412,0,0,0,0,0
"15","ANM2005020206",2005-02-15,"21.3m seine",-82.777183,28.160567,"Callinectes sapidus","Blue Crab",1,1.47058823529412,0,0,0,0,0
"16","ANM2005030105",2005-03-15,"21.3m seine",-82.72535,28.168217,"Callinectes sapidus","Blue Crab",2,2.94117647058824,0,0,0,0,0
"17","ANM2005030108",2005-03-15,"21.3m seine",-82.747217,28.159533,"Callinectes sapidus","Blue Crab",1,1.47058823529412,0,0,0,0,0
"18","ANM2005030202",2005-03-15,"21.3m seine",-82.775267,28.159017,"Callinectes sapidus","Blue Crab",20,29.4117647058824,0,0,0,0,0
"19","ANM2005030203",2005-03-15,"21.3m seine",-82.781683,28.166183,"Callinectes sapidus","Blue Crab",3,4.41176470588235,0,0,0,0,0
