"","NODCCODE","Commonname","183m seine","21.3m seine","273m nylon trammel net","366m monofilament trammel net","547m nylon trammel net","6.1m otter trawl","61m seine","9.1m seine","Hook and line","No Set","Offshore Purse Seine","Scientificname","Genus","Subfamily","Family","Order","Class"
"1","0",NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","1.111e+09",NA,NA,0,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"3","3737040301","Cannonball Jellyfish",570,72,NA,NA,NA,960,NA,NA,NA,NA,NA,"Stomolophus meleagris",NA,NA,NA,NA,NA
"4","5.124e+09",NA,198,140,NA,NA,NA,1949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","5509051200","Scallops",146,17,NA,4,1,7280,NA,NA,NA,NA,NA,"Argopecten spp.",NA,NA,NA,NA,NA
"6","5509051201","Atlantic Calico Scallop",1,NA,NA,NA,NA,95,NA,NA,NA,NA,NA,"Argopecten gibbus",NA,NA,NA,NA,NA
"7","5509051202","Bay Scallop",103,17,NA,13,NA,3993,NA,NA,NA,NA,NA,"Argopecten irradians",NA,NA,NA,NA,NA
"8","5515471100",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","5515471101","Northern Quahog",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"Mercenaria mercenaria",NA,NA,NA,NA,NA
"10","5706010000","Squid",20,2,NA,NA,NA,67,NA,NA,NA,NA,NA,"Loliginidae spp.",NA,NA,NA,NA,NA
"11","5706010100","Squid",NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,"Loligo spp.",NA,NA,NA,NA,NA
"12","5802010101","Horseshoe Crab",1314,429,6,230,81,1440,21,NA,NA,7,NA,"Limulus polyphemus",NA,NA,NA,NA,NA
"13","6177010000","Penaeid Shrimps",NA,8,NA,NA,NA,15,NA,NA,NA,NA,NA,"Penaeidae spp.",NA,NA,NA,NA,NA
"14","6177010100","Commercial Shrimps",270,21051,NA,NA,NA,9325,NA,NA,NA,NA,NA,"Farfantepenaeus spp.",NA,NA,NA,NA,NA
"15","6177010101","Brown Shrimp",259,632,NA,NA,NA,4876,NA,NA,NA,NA,NA,"Farfantepenaeus aztecus",NA,NA,NA,NA,NA
"16","6177010102","Pink Shrimp",2814,124630,NA,NA,NA,73082,218,37,NA,23,NA,"Farfantepenaeus duorarum",NA,NA,NA,NA,NA
"17","6177010103","White Shrimp",7077,11288,NA,NA,NA,15117,NA,NA,NA,NA,NA,"Litopenaeus setiferus",NA,NA,NA,NA,NA
"18","6177010120","Giant Tiger Prawn",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Penaeus monodon",NA,NA,NA,NA,NA
"19","6177010200",NA,NA,8,NA,NA,NA,208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","6177010201","Roughneck Shrimp",NA,149,NA,NA,NA,7443,NA,NA,NA,NA,NA,"Rimapenaeus constrictus",NA,NA,NA,NA,NA
"21","6177010202","Yellow Roughneck Shrimp",NA,NA,NA,NA,NA,162,NA,NA,NA,NA,NA,"Rimapenaeus similis",NA,NA,NA,NA,NA
"22","6177010701","Atlantic Seabob",1,12,NA,NA,NA,81,NA,NA,NA,NA,NA,"Xiphopenaeus kroyeri",NA,NA,NA,NA,NA
"23","6177040100","Rock Shrimp",NA,3,NA,NA,NA,75,NA,NA,NA,NA,NA,"Sicyonia spp.",NA,NA,NA,NA,NA
"24","6177040101","Rock Shrimp",NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,"Sicyonia brevirostris",NA,NA,NA,NA,NA
"25","6177040102","Lesser Rock Shrimp",NA,2,NA,NA,NA,45,NA,NA,NA,NA,NA,"Sicyonia dorsalis",NA,NA,NA,NA,NA
"26","6177040103","Kinglet Rock Shrimp",NA,9,NA,NA,NA,150,NA,NA,NA,NA,NA,"Sicyonia typica",NA,NA,NA,NA,NA
"27","6177040104","Hardback",NA,10,NA,NA,NA,129,NA,NA,NA,NA,NA,"Sicyonia laevigata",NA,NA,NA,NA,NA
"28","6177040107",NA,1,3,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","6179110000",NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","6179110100",NA,NA,12,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
