"","NODCCODE","Commonname","183m seine","198m gillnet","21.3m seine","40m seine","6.1m otter trawl","61m seine","Family","Class","NODCCODE.1","Troph","Polar","Boreal","Temperate","Subtropical"
"1","8707100101","Nurse Shark",1,NA,NA,NA,NA,NA,"Ginglymostomatidae","Elasmobranchii","8707100101",4.29666666666667,0,-2,-3,-5
"2","8708020301","Atlantic Sharpnose Shark",8,NA,NA,NA,2,NA,"Carcharhinidae","Elasmobranchii","8708020301",4.3025,0,-1,-5,-2
"3","8708020502","Bull Shark",26,NA,NA,NA,NA,1,"Carcharhinidae","Elasmobranchii","8708020502",4.31,0,-3,-8,-22
"4","8708020507","Blacktip Shark",10,NA,NA,NA,1,NA,"Carcharhinidae","Elasmobranchii","8708020507",4.375,0,-3,-8,-15
"5","8708020530","Spinner Shark",1,NA,NA,NA,NA,NA,"Carcharhinidae","Elasmobranchii","8708020530",4.2,0,-3,-5,-13
"6","8708020531","Finetooth Shark",2,NA,NA,NA,NA,NA,"Carcharhinidae","Elasmobranchii","8708020531",4.2,0,-1,-2,-2
"7","8708020801","Lemon Shark",11,NA,NA,NA,NA,NA,"Carcharhinidae","Elasmobranchii","8708020801",4.3825,0,-2,-2,-4
"8","8708030101","Bonnethead",292,NA,4,NA,6,NA,"Sphyrnidae","Elasmobranchii","8708030101",3.498,0,-2,-4,-4
"9","8708030103","Scalloped Hammerhead",2,NA,NA,NA,1,NA,"Sphyrnidae","Elasmobranchii","8708030103",4.18666666666667,0,-2,-6,-16
"10","8713020101","Atlantic Guitarfish",NA,NA,NA,NA,1,NA,"Rhinobatidae","Elasmobranchii","8713020101",NA,0,-1,-1,-2
"11","8713040113","Clearnose Skate",1,NA,NA,NA,1,NA,"Rajidae","Elasmobranchii","8713040113",3.89714285714286,0,-1,-3,-2
"12","8713050103","Southern Stingray",32,NA,NA,NA,NA,NA,"Dasyatidae","Elasmobranchii","8713050103",3.525,0,-1,-2,-2
"13","8713050105","Atlantic Stingray",35310,5,1778,19,2800,86,"Dasyatidae","Elasmobranchii","8713050105",NA,0,-2,-3,-4
"14","8713050106","Bluntnose Stingray",4017,NA,128,1,135,NA,"Dasyatidae","Elasmobranchii","8713050106",3.6075,0,-1,-3,-1
