"","NODCCODE","Commonname",">30","25-26","26-27","27-28","28-29","29-30","Scientificname","Genus","Subfamily","Family","Order","Class"
"1","0",NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"2","1.111e+09",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"3","3737040301","Cannonball Jellyfish",NA,NA,1,1,NA,1600,"Stomolophus meleagris",NA,NA,NA,NA,NA
"4","5.124e+09",NA,NA,NA,2287,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","5509051200","Scallops",2078,148,1,397,1535,3289,"Argopecten spp.",NA,NA,NA,NA,NA
"6","5509051201","Atlantic Calico Scallop",3,NA,68,NA,NA,25,"Argopecten gibbus",NA,NA,NA,NA,NA
"7","5509051202","Bay Scallop",1593,NA,473,58,NA,2002,"Argopecten irradians",NA,NA,NA,NA,NA
"8","5515471100",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"9","5515471101","Northern Quahog",NA,NA,NA,NA,NA,1,"Mercenaria mercenaria",NA,NA,NA,NA,NA
"10","5706010000","Squid",NA,NA,89,NA,NA,NA,"Loliginidae spp.",NA,NA,NA,NA,NA
"11","5706010100","Squid",NA,NA,11,NA,NA,NA,"Loligo spp.",NA,NA,NA,NA,NA
"12","5802010101","Horseshoe Crab",NA,21,892,2033,31,551,"Limulus polyphemus",NA,NA,NA,NA,NA
"13","6177010000","Penaeid Shrimps",1,NA,4,7,1,10,"Penaeidae spp.",NA,NA,NA,NA,NA
"14","6177010100","Commercial Shrimps",2443,NA,NA,NA,NA,28203,"Farfantepenaeus spp.",NA,NA,NA,NA,NA
"15","6177010101","Brown Shrimp",145,NA,NA,NA,NA,5622,"Farfantepenaeus aztecus",NA,NA,NA,NA,NA
"16","6177010102","Pink Shrimp",2082,412,99436,80561,2895,15418,"Farfantepenaeus duorarum",NA,NA,NA,NA,NA
"17","6177010103","White Shrimp",103,NA,NA,NA,NA,33379,"Litopenaeus setiferus",NA,NA,NA,NA,NA
"18","6177010120","Giant Tiger Prawn",NA,NA,1,NA,NA,1,"Penaeus monodon",NA,NA,NA,NA,NA
"19","6177010200",NA,NA,NA,NA,NA,NA,216,NA,NA,NA,NA,NA,NA
"20","6177010201","Roughneck Shrimp",22,NA,796,188,1,6585,"Rimapenaeus constrictus",NA,NA,NA,NA,NA
