"","NODCCODE","Commonname",">30","26-27","27-28","28-29","29-30","Family","Class","NODCCODE.1","Troph","Polar","Boreal","Temperate","Subtropical"
"1","8707100101","Nurse Shark",NA,NA,1,NA,NA,"Ginglymostomatidae","Elasmobranchii","8707100101",4.29666666666667,0,-2,-3,-5
"2","8708020301","Atlantic Sharpnose Shark",10,NA,NA,NA,NA,"Carcharhinidae","Elasmobranchii","8708020301",4.3025,0,-1,-5,-2
"3","8708020502","Bull Shark",NA,NA,23,4,NA,"Carcharhinidae","Elasmobranchii","8708020502",4.31,0,-3,-8,-22
"4","8708020507","Blacktip Shark",11,NA,NA,NA,NA,"Carcharhinidae","Elasmobranchii","8708020507",4.375,0,-3,-8,-15
"5","8708020530","Spinner Shark",NA,NA,1,NA,NA,"Carcharhinidae","Elasmobranchii","8708020530",4.2,0,-3,-5,-13
"6","8708020531","Finetooth Shark",2,NA,NA,NA,NA,"Carcharhinidae","Elasmobranchii","8708020531",4.2,0,-1,-2,-2
"7","8708020801","Lemon Shark",9,NA,2,NA,NA,"Carcharhinidae","Elasmobranchii","8708020801",4.3825,0,-2,-2,-4
"8","8708030101","Bonnethead",237,NA,54,11,NA,"Sphyrnidae","Elasmobranchii","8708030101",3.498,0,-2,-4,-4
"9","8708030103","Scalloped Hammerhead",3,NA,NA,NA,NA,"Sphyrnidae","Elasmobranchii","8708030103",4.18666666666667,0,-2,-6,-16
"10","8713020101","Atlantic Guitarfish",1,NA,NA,NA,NA,"Rhinobatidae","Elasmobranchii","8713020101",NA,0,-1,-1,-2
"11","8713040113","Clearnose Skate",2,NA,NA,NA,NA,"Rajidae","Elasmobranchii","8713040113",3.89714285714286,0,-1,-3,-2
"12","8713050103","Southern Stingray",3,1,28,NA,NA,"Dasyatidae","Elasmobranchii","8713050103",3.525,0,-1,-2,-2
"13","8713050105","Atlantic Stingray",12329,64,10020,16743,842,"Dasyatidae","Elasmobranchii","8713050105",NA,0,-2,-3,-4
"14","8713050106","Bluntnose Stingray",505,45,1709,2022,NA,"Dasyatidae","Elasmobranchii","8713050106",3.6075,0,-1,-3,-1
"15","8713050201","Spiny Butterfly Ray",NA,NA,4,NA,NA,"Gymnuridae","Elasmobranchii","8713050201",4.5,0,-1,-4,-4
"16","8713050202","Smooth Butterfly Ray",945,NA,531,359,10,"Gymnuridae","Elasmobranchii","8713050202",NA,0,-1,-2,-3
"17","8713050301","Yellow Stingray",NA,1,NA,NA,NA,"Urotrygonidae","Elasmobranchii","8713050301",NA,0,-1,-1,-2
"18","8713070101","Spotted Eagle Ray",15,1,35,NA,NA,"Myliobatidae","Elasmobranchii","8713070101",4.12,0,-2,-4,-14
"19","8713070301","Cownose Ray",260,2,93,21,NA,"Myliobatidae","Elasmobranchii","8713070301",3.70666666666667,0,-1,-3,-3
"20","8713120101","Lesser Electric Ray",NA,NA,14,NA,NA,"Narcinidae","Elasmobranchii","8713120101",NA,0,-1,-1,-1
"21","8729010105","Atlantic Sturgeon",1,NA,NA,NA,NA,"Acipenseridae","Actinopterygii","8729010105",NA,0,-8,-13,-10
"22","8732010101","Longnose Gar",838,NA,43,14,74,"Lepisosteidae","Actinopterygii","8732010101",NA,0,-2,-5,-3
